Year,Board Code,Board Name,School Code,School Name,School Total
2011-2012,59,TRI-COUNTY REGIONAL           ,541,DIGBY ELEMENTARY SCHOOL       ,382
2011-2012,59,TRI-COUNTY REGIONAL           ,257,DIGBY NECK CONSOLIDATED SCHOOL,37
2011-2012,59,TRI-COUNTY REGIONAL           ,709,DIGBY REGIONAL HIGH SCHOOL         ,509
2011-2012,59,TRI-COUNTY REGIONAL           ,981,DRUMLIN HEIGHTS CONSOLIDATED SCHOOL ,389
2011-2012,59,TRI-COUNTY REGIONAL           ,733,EVELYN RICHARDSON MEMORIAL ELEMENTARY SCHOOL ,115
2011-2012,59,TRI-COUNTY REGIONAL           ,927,FOREST RIDGE ACADEMY          ,196
2011-2012,59,TRI-COUNTY REGIONAL           ,79,HILLCREST ACADEMY             ,299
2011-2012,59,TRI-COUNTY REGIONAL           ,259,ISLANDS CONSOLIDATED SCHOOL   ,115
2011-2012,59,TRI-COUNTY REGIONAL           ,624,LOCKEPORT ELEMENTARY SCHOOL   ,105
2011-2012,59,TRI-COUNTY REGIONAL           ,711,LOCKEPORT REGIONAL HIGH SCHOOL      ,138
2011-2012,59,TRI-COUNTY REGIONAL           ,410,MAPLE GROVE EDUCATION CENTRE  ,408
2011-2012,59,TRI-COUNTY REGIONAL           ,928,MEADOWFIELDS COMMUNITY SCHOOL ,478
2011-2012,59,TRI-COUNTY REGIONAL           ,199,PLYMOUTH SCHOOL               ,148
2011-2012,59,TRI-COUNTY REGIONAL           ,498,PORT MAITLAND CONSOLIDATED SCHOOL  ,139
2011-2012,59,TRI-COUNTY REGIONAL           ,716,SHELBURNE REGIONAL HIGH SCHOOL,320
2011-2012,59,TRI-COUNTY REGIONAL           ,703,SOUTH CENTENNIAL SCHOOL       ,115
2011-2012,59,TRI-COUNTY REGIONAL           ,977,ST. MARY'S BAY ACADEMY        ,250
2011-2012,59,TRI-COUNTY REGIONAL           ,8059,TRI-COUNTY DSEPS              ,1
2011-2012,59,TRI-COUNTY REGIONAL           ,258,WESTPORT VILLAGE SCHOOL,3
2011-2012,59,TRI-COUNTY REGIONAL           ,256,WEYMOUTH CONSOLIDATED SCHOOL  ,249
2011-2012,59,TRI-COUNTY REGIONAL           ,385,YARMOUTH ADULT HIGH SCHOOL    ,27
2011-2012,59,TRI-COUNTY REGIONAL           ,704,YARMOUTH CENTRAL SCHOOL       ,208
2011-2012,59,TRI-COUNTY REGIONAL           ,700,YARMOUTH CONSOLIDATED MEMORIAL HIGH SCHOOL   ,758
2011-2012,59,TRI-COUNTY REGIONAL           ,701,YARMOUTH JUNIOR HIGH SCHOOL         ,223
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,96,BADDECK ACADEMY               ,263
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,93,BOULARDERIE ELEMENTARY SCHOOL ,90
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,101,BRAS D'OR ELEMENTARY SCHOOL   ,292
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,640,BRETON EDUCATION CENTRE       ,604
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,551,BRIDGEPORT SCHOOL             ,100
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,995,BROOKLAND ELEMENTARY SCHOOL   ,422
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,107,CABOT EDUCATION CENTRE        ,200
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,1169,CAPE BRETON VICTORIA -ADULT HIGH SCHOOL      ,45
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,962,CAPE SMOKEY ELEMENTARY SCHOOL ,100
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,186,COXHEATH ELEMENTARY SCHOOL    ,286
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,1101,CUSACK SCHOOL                 ,360
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,996,DONKIN SCHOOL                 ,127
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,98,DR. T. L. SULLIVAN MIDDLE SCHOOL     ,234
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,1153,FERRISVIEW ELEMENTARY SCHOOL  ,210
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,99,FLORENCE ELEMENTARY SCHOOL    ,124
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,626,GEORGE D. LEWIS SCHOOL        ,112
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,416,GLACE BAY ELEMENTARY SCHOOL   ,506
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,8,GLACE BAY HIGH SCHOOL         ,716
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,964,HARBOURSIDE ELEMENTARY SCHOOL ,365
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,549,JOHN BERNARD CROAK V. C. MEMORIAL SCHOOL  ,178
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,960,JUBILEE ELEMENTARY SCHOOL     ,227
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,545,MACDONALD ELEMENTARY SCHOOL         ,146
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,206,MACLENNAN MIDDLE SCHOOL       ,131
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,202,MALCOLM MUNROE MEMORIAL MIDDLE SCHOOL     ,571
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,183,MARION BRIDGE SCHOOL          ,82
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,82,MEMORIAL COMPOSITE HIGH SCHOOL,904
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,83,MIDDLE RIVER CONSOLIDATED SCHOOL     ,22
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,180,MIRA ROAD SCHOOL              ,137
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,643,MOUNT CARMEL ELEMENTARY SCHOOL,133
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,997,MOUNTAINVIEW ELEMENTARY SCHOOL,229
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,963,NEW WATERFORD ELEMENTARY SCHOOL ,369
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,961,NORTH HIGHLANDS ELEMENTARY SCHOOL    ,98
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,1154,OCEANVIEW EDUCATION CENTRE    ,573
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,1142,RANKIN SCHOOL OF THE NARROWS  ,163
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,973,RIVERSIDE ELEMENTARY SCHOOL   ,170
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,203,RIVERVIEW HIGH SCHOOL         ,961
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,182,ROBIN FOOTE ELEMENTARY SCHOOL ,151
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,113,SETON ELEMENTARY SCHOOL       ,177
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,646,SHERWOOD PARK EDUCATION CENTRE,302
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,972,SHIPYARD ELEMENTARY SCHOOL    ,225
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,644,ST. AGNES ELEMENTARY SCHOOL   ,121
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,561,ST. ANNE'S ELEMENTARY SCHOOL  ,323
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,119,ST. JOSEPH ELEMENTARY SCHOOL  ,204
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,688,SYDNEY ACADEMY                ,766
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,117,SYDNEY MINES MIDDLE SCHOOL    ,276
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,185,SYDNEY RIVER ELEMENTARY SCHOOL,305
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,110,THOMPSON MIDDLE SCHOOL        ,188
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,175,TOMPKINS MEMORIAL ELEMENTARY SCHOOL  ,143
2012-2013,51,CAPE BRETON-VICTORIA REGIONAL ,667,WHITNEY PIER MEMORIAL MIDDLE SCHOOL  ,408
2012-2013,52,STRAIT REGIONAL               ,934,ANTIGONISH EDUCATION CENTRE     ,492
2012-2013,52,STRAIT REGIONAL               ,932,BAYVIEW EDUCATION CENTRE      ,339
2012-2013,52,STRAIT REGIONAL               ,510,CANSO ACADEMY                 ,68
2012-2013,52,STRAIT REGIONAL               ,974,CAPE BRETON HIGHLANDS EDUCATION CENTRE/ACADEMY ,363
2012-2013,52,STRAIT REGIONAL               ,986,CHEDABUCTO EDUCATION CENTRE/GUYSBOROUGH ACADEMY,305
2012-2013,52,STRAIT REGIONAL               ,930,DALBRAE ACADEMY               ,260
2012-2013,52,STRAIT REGIONAL               ,707,DR. JOHN HUGH GILLIS REGIONAL HIGH SCHOOL ,758
2012-2013,52,STRAIT REGIONAL               ,975,EAST ANTIGONISH EDUCATION CENTRE/ACADEMY ,460
2012-2013,52,STRAIT REGIONAL               ,484,EAST RICHMOND EDUCATION CENTRE     ,271
2012-2013,52,STRAIT REGIONAL               ,266,FANNING EDUCATION CENTRE/CANSO ACADEMY,121
2012-2013,52,STRAIT REGIONAL               ,471,FELIX MARCHAND EDUCATION CENTRE ,135
2012-2013,52,STRAIT REGIONAL               ,143,H. M. MACDONALD ELEMENTARY SCHOOL  ,104
2012-2013,52,STRAIT REGIONAL               ,1106,INVERNESS EDUCATION CENTRE/ACADEMY ,282
2012-2013,52,STRAIT REGIONAL               ,631,MULGRAVE MEMORIAL EDUCATION CENTRE ,92
2012-2013,52,STRAIT REGIONAL               ,390,PLEASANT BAY SCHOOL           ,6
2012-2013,52,STRAIT REGIONAL               ,931,RICHMOND EDUCATION CENTRE/ACADEMY  ,355
2012-2013,52,STRAIT REGIONAL               ,152,ST. ANDREW JUNIOR HIGH SCHOOL ,558
2012-2013,52,STRAIT REGIONAL               ,149,ST. ANDREWS CONSOLIDATED SCHOOL    ,270
2012-2013,52,STRAIT REGIONAL               ,1160,ST. MARY'S EDUCATION CENTRE/ACADEMY,302
2012-2013,52,STRAIT REGIONAL               ,655,STRAIT AREA EDUCATION/RECREATION CENTRE   ,374
2012-2013,52,STRAIT REGIONAL               ,8052,STRAIT DSEPS                  ,1
2012-2013,52,STRAIT REGIONAL               ,936,TAMARAC EDUCATION CENTRE      ,580
2012-2013,52,STRAIT REGIONAL               ,976,WEST RICHMOND EDUCATION CENTRE,144
2012-2013,52,STRAIT REGIONAL               ,388,WHYCOCOMAGH EDUCATION CENTRE  ,176
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,639,A.G. BAILLIE MEMORIAL SCHOOL,376
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,634,ACADIA ST ELEMENTARY SCHOOL,131
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,248,ADVOCATE DISTRICT SCHOOL      ,57
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,705,AMHERST REGIONAL HIGH SCHOOL  ,675
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,6,BIBLE HILL CENTRAL ELEMENTARY SCHOOL ,158
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,2,BIBLE HILL EAST COURT ROAD ELEMENTARY SCHOOL,115
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,7,BIBLE HILL JUNIOR HIGH SCHOOL ,338
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,16,BROOKFIELD ELEMENTARY SCHOOL  ,185
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,20,CENTRAL COLCHESTER JUNIOR HIGH SCHOOL,453
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,27,CHIGANOIS ELEMENTARY SCHOOL   ,192
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,8053,CHIGNECTO-CENTRAL DSEPS       ,20
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,14,COBEQUID CONSOLIDATED ELEMENTARY SCHOOL     ,150
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,36,COBEQUID DISTRICT ELEMENTARY SCHOOL,87
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,44,COBEQUID EDUCATIONAL CENTRE   ,1568
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,1104,CUMBERLAND NORTH ACADEMY      ,313
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,230,CYRUS EATON ELEMENTARY SCHOOL ,128
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,28,DEBERT ELEMENTARY SCHOOL      ,146
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,408,DR. W. A. MACLEOD CONSOLIDATED SCHOOL,206
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,750,E. B. CHANDLER JUNIOR HIGH SCHOOL ,307
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,432,EAST PICTOU MIDDLE SCHOOL     ,231
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,31,ELMSDALE DISTRICT ELEMENTARY SCHOOL ,400
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,30,ENFIELD DISTRICT SCHOOL       ,304
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,414,F. H. MACDONALD ELEMENTARY SCHOOL ,319
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,665,G.R. SAUNDERS ELEMENTARY SCHOOL     ,375
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,26,GREAT VILLAGE ELEMENTARY SCHOOL      ,56
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,42,HANTS EAST RURAL HIGH SCHOOL  ,840
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,41,HANTS NORTH RURAL HIGH SCHOOL ,284
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,1145,HARMONY HEIGHTS ELEMENTARY SCHOOL   ,328
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,1100,HIGHLAND CONSOLIDATED MIDDLE SCHOOL ,253
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,15,HILDEN ELEMENTARY SCHOOL      ,105
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,661,JUNCTION ROAD ELEMENTARY SCHOOL     ,155
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,38,KENNETCOOK DISTRICT ELEMENTARY SCHOOL,79
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,35,MAITLAND DISTRICT SCHOOL             ,24
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,949,MAPLE RIDGE ELEMENTARY SCHOOL ,230
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,633,NEW GLASGOW JUNIOR HIGH SCHOOL       ,304
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,5,NORTH COLCHESTER HIGH SCHOOL  ,206
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,988,NORTH NOVA EDUCATION CENTRE   ,854
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,9,NORTH RIVER ELEMENTARY SCHOOL ,219
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,231,NORTHPORT CONSOLIDATED ELEMENTARY SCHOOL  ,51
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,989,NORTHUMBERLAND REGIONAL HIGH SCHOOL,918
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,1151,OXFORD REGIONAL EDUCATION CENTRE   ,406
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,649,PARRSBORO REGIONAL ELEMENTARY SCHOOL ,153
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,715,PARRSBORO REGIONAL HIGH SCHOOL,211
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,650,PICTOU ACADEMY/DR.THOMAS MCCULLOCH SCHOOL,260
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,971,PICTOU ELEMENTARY SCHOOL      ,234
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,252,PUGWASH DISTRICT HIGH SCHOOL  ,243
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,39,RAWDON DISTRICT ELEMENTARY SCHOOL    ,98
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,916,REDCLIFF MIDDLE SCHOOL        ,484
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,240,RIVER HEBERT DISTRICT ELEMENTARY SCHOOL   ,78
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,251,RIVER HEBERT DISTRICT SCHOOL  ,105
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,435,RIVER JOHN CONSOLIDATED SCHOOL       ,77
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,923,RIVERSIDE EDUCATION CENTRE    ,567
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,441,SALT SPRINGS ELEMENTARY SCHOOL       ,70
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,4,SCOTSBURN ELEMENTARY SCHOOL   ,132
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,34,SHUBENACADIE DISTRICT ELEMENTARY SCHOOL    ,161
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,992,SOUTH COLCHESTER ACADEMY      ,605
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,1105,SPRING STREET ACADEMY         ,509
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,658,SPRINGHILL JUNIOR-SENIOR HIGH SCHOOL ,317
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,1,TATAMAGOUCHE ELEMENTARY SCHOOL,181
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,636,TEMPERANCE STREET SCHOOL             ,104
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,428,THORBURN CONSOLIDATED SCHOOL  ,276
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,692,TRENTON ELEMENTARY SCHOOL     ,170
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,690,TRENTON MIDDLE SCHOOL         ,189
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,1146,TRURO ELEMENTARY SCHOOL       ,558
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,45,TRURO JUNIOR HIGH SCHOOL      ,421
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,40,UNIACKE DISTRICT SCHOOL       ,408
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,18,UPPER STEWIACKE ELEMENTARY SCHOOL   ,55
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,12,VALLEY ELEMENTARY SCHOOL      ,199
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,227,WALLACE CONSOLIDATED ELEMENTARY SCHOOL     ,62
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,3,WALTER DUGGAN CONSOLIDATED SCHOOL    ,430
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,229,WENTWORTH CONSOLIDATED ELEMENTARY SCHOOL ,25
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,29,WEST COLCHESTER CONSOLIDATED SCHOOL ,126
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,662,WEST END MEMORIAL SCHOOL      ,151
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,503,WEST HIGHLANDS ELEMENTARY SCHOOL     ,180
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,407,WEST PICTOU CONSOLIDATED SCHOOL      ,427
2012-2013,53,CHIGNECTO-CENTRAL REGIONAL    ,1148,WINDING RIVER CONSOLIDATED SCHOOL   ,238
2012-2013,54,HALIFAX REGIONAL              ,228,A. J. SMELTZER JUNIOR HIGH SCHOOL  ,256
2012-2013,54,HALIFAX REGIONAL              ,512,ADMIRAL WESTPHAL ELEMENTARY SCHOOL  ,101
2012-2013,54,HALIFAX REGIONAL              ,513,ALDERNEY ELEMENTARY SCHOOL    ,90
2012-2013,54,HALIFAX REGIONAL              ,317,ASH LEE JEFFERSON ELEMENTARY SCHOOL,532
2012-2013,54,HALIFAX REGIONAL              ,739,ASTRAL DRIVE ELEMENTARY SCHOOL,519
2012-2013,54,HALIFAX REGIONAL              ,749,ASTRAL DRIVE JUNIOR HIGH SCHOOL,486
2012-2013,54,HALIFAX REGIONAL              ,425,ATLANTIC MEMORIAL-TERENCE BAY SCHOOL      ,232
2012-2013,54,HALIFAX REGIONAL              ,326,ATLANTIC VIEW ELEMENTARY SCHOOL    ,124
2012-2013,54,HALIFAX REGIONAL              ,97,AUBURN DRIVE HIGH SCHOOL      ,962
2012-2013,54,HALIFAX REGIONAL              ,104,BASINVIEW DRIVE COMMUNITY SCHOOL    ,490
2012-2013,54,HALIFAX REGIONAL              ,752,BEAVER BANK MONARCH DRIVE ELEMENTARY SCHOOL,369
2012-2013,54,HALIFAX REGIONAL              ,304,BEAVER BANK-KINSAC ELEMENTARY SCHOOL,258
2012-2013,54,HALIFAX REGIONAL              ,268,BEDFORD AND FORSYTH EDUCATION CENTRES  ,182
2012-2013,54,HALIFAX REGIONAL              ,298,BEDFORD JUNIOR HIGH SCHOOL         ,371
2012-2013,54,HALIFAX REGIONAL              ,937,BEDFORD SOUTH SCHOOL          ,690
2012-2013,54,HALIFAX REGIONAL              ,291,BEECHVILLE LAKESIDE TIMBERLEA JUNIOR ELEMENTARY SCHOOL  ,717
2012-2013,54,HALIFAX REGIONAL              ,514,BEL AYR ELEMENTARY SCHOOL     ,205
2012-2013,54,HALIFAX REGIONAL              ,322,BELL PARK ACADEMIC CENTRE     ,235
2012-2013,54,HALIFAX REGIONAL              ,515,BICENTENNIAL SCHOOL           ,283
2012-2013,54,HALIFAX REGIONAL              ,519,BROOKHOUSE ELEMENTARY SCHOOL  ,350
2012-2013,54,HALIFAX REGIONAL              ,286,BROOKSIDE JUNIOR HIGH SCHOOL  ,376
2012-2013,54,HALIFAX REGIONAL              ,595,BURTON ETTINGER ELEMENTARY SCHOOL    ,349
2012-2013,54,HALIFAX REGIONAL              ,319,CALDWELL ROAD ELEMENTARY SCHOOL,303
2012-2013,54,HALIFAX REGIONAL              ,516,CALEDONIA JUNIOR HIGH SCHOOL  ,298
2012-2013,54,HALIFAX REGIONAL              ,312,CAUDLE PARK ELEMENTARY SCHOOL ,169
2012-2013,54,HALIFAX REGIONAL              ,743,CAVALIER DRIVE SCHOOL         ,352
2012-2013,54,HALIFAX REGIONAL              ,611,CENTRAL SPRYFIELD SCHOOL      ,130
2012-2013,54,HALIFAX REGIONAL              ,358,CHARLES P. ALLEN HIGH SCHOOL  ,1294
2012-2013,54,HALIFAX REGIONAL              ,596,CHEBUCTO HEIGHTS ELEMENTARY SCHOOL   ,279
2012-2013,54,HALIFAX REGIONAL              ,1109,CITADEL HIGH SCHOOL           ,1239
2012-2013,54,HALIFAX REGIONAL              ,600,CLAYTON PARK JUNIOR HIGH SCHOOL     ,326
2012-2013,54,HALIFAX REGIONAL              ,352,COLBY VILLAGE ELEMENTARY SCHOOL      ,193
2012-2013,54,HALIFAX REGIONAL              ,357,COLE HARBOUR DISTRICT HIGH SCHOOL   ,874
2012-2013,54,HALIFAX REGIONAL              ,339,COLONEL JOHN STUART ELEMENTARY SCHOOL,180
2012-2013,54,HALIFAX REGIONAL              ,517,CRICHTON PARK ELEMENTARY SCHOOL      ,246
2012-2013,54,HALIFAX REGIONAL              ,605,CUNARD JUNIOR HIGH SCHOOL     ,215
2012-2013,54,HALIFAX REGIONAL              ,518,DARTMOUTH HIGH SCHOOL         ,889
2012-2013,54,HALIFAX REGIONAL              ,601,DUC D'ANVILLE ELEMENTARY SCHOOL      ,309
2012-2013,54,HALIFAX REGIONAL              ,328,DUNCAN MACMILLAN HIGH SCHOOL  ,201
2012-2013,54,HALIFAX REGIONAL              ,343,DUTCH SETTLEMENT ELEMENTARY SCHOOL  ,105
2012-2013,54,HALIFAX REGIONAL              ,283,EAST ST. MARGARET'S ELEMENTARY SCHOOL      ,68
2012-2013,54,HALIFAX REGIONAL              ,329,EASTERN CONSOLIDATED ELEMENTARY SCHOOL     ,7
2012-2013,54,HALIFAX REGIONAL              ,351,EASTERN PASSAGE EDUCATION CENTRE   ,439
2012-2013,54,HALIFAX REGIONAL              ,334,EASTERN SHORE DISTRICT HIGH SCHOOL ,512
2012-2013,54,HALIFAX REGIONAL              ,614,ELIZABETH SUTHERLAND SCHOOL   ,271
2012-2013,54,HALIFAX REGIONAL              ,538,ELLENVALE JUNIOR HIGH SCHOOL  ,425
2012-2013,54,HALIFAX REGIONAL              ,564,ERIC GRAVES MEMORIAL JUNIOR HIGH SCHOOL  ,174
2012-2013,54,HALIFAX REGIONAL              ,599,FAIRVIEW HEIGHTS ELEMENTARY SCHOOL  ,264
2012-2013,54,HALIFAX REGIONAL              ,578,FAIRVIEW JUNIOR HIGH SCHOOL   ,396
2012-2013,54,HALIFAX REGIONAL              ,288,FIVE BRIDGES JUNIOR HIGH SCHOOL     ,535
2012-2013,54,HALIFAX REGIONAL              ,356,GAETZ BROOK JUNIOR HIGH SCHOOL,321
2012-2013,54,HALIFAX REGIONAL              ,731,GEORGE BISSETT ELEMENTARY SCHOOL   ,151
2012-2013,54,HALIFAX REGIONAL              ,314,GEORGES P. VANIER JUNIOR HIGH SCHOOL,404
2012-2013,54,HALIFAX REGIONAL              ,350,GERTRUDE M. PARKER ELEMENTARY SCHOOL ,231
2012-2013,54,HALIFAX REGIONAL              ,568,GORSEBROOK JUNIOR HIGH SCHOOL ,214
2012-2013,54,HALIFAX REGIONAL              ,318,GRAHAM CREIGHTON JUNIOR HIGH SCHOOL  ,300
2012-2013,54,HALIFAX REGIONAL              ,602,GROSVENOR-WENTWORTH PARK ELEMENTARY SCHOOL ,441
2012-2013,54,HALIFAX REGIONAL              ,567,HALIFAX CENTRAL JUNIOR HIGH SCHOOL,189
2012-2013,54,HALIFAX REGIONAL              ,8054,HALIFAX DSEPS                 ,130
2012-2013,54,HALIFAX REGIONAL              ,592,HALIFAX WEST HIGH SCHOOL      ,1449
2012-2013,54,HALIFAX REGIONAL              ,306,HAMMONDS PLAINS CONSOLIDATED SCHOOL ,630
2012-2013,54,HALIFAX REGIONAL              ,521,HARBOUR VIEW ELEMENTARY SCHOOL,222
2012-2013,54,HALIFAX REGIONAL              ,740,HAROLD T. BARRETT JUNIOR HIGH SCHOOL,163
2012-2013,54,HALIFAX REGIONAL              ,296,HARRIETSFIELD ELEMENTARY SCHOOL      ,154
2012-2013,54,HALIFAX REGIONAL              ,313,HARRY R. HAMILTON ELEMENTARY SCHOOL ,510
2012-2013,54,HALIFAX REGIONAL              ,522,HAWTHORN ELEMENTARY SCHOOL    ,198
2012-2013,54,HALIFAX REGIONAL              ,293,HERRING COVE JUNIOR HIGH SCHOOL      ,221
2012-2013,54,HALIFAX REGIONAL              ,571,HIGHLAND PARK JUNIOR HIGH SCHOOL     ,114
2012-2013,54,HALIFAX REGIONAL              ,310,HILLSIDE PARK ELEMENTARY SCHOOL      ,180
2012-2013,54,HALIFAX REGIONAL              ,747,HOLLAND ROAD ELEMENTARY SCHOOL,317
2012-2013,54,HALIFAX REGIONAL              ,327,HUMBER PARK ELEMENTARY SCHOOL ,185
2012-2013,54,HALIFAX REGIONAL              ,523,IAN FORSYTH ELEMENTARY SCHOOL ,347
